New_name,Slope_av,rat_ant_atpase,area_hc,om_vol,cluster,cyto
1,33.60571053,62,0.08695,0.03689,0,0.306
10,15.60816634,1,0.115,0.021,0,0.108
12,19.57898148,29,0.11495,0.020521,0,0.148
5,5.104323821,89,0.01525,0.01205,1,0.048
11,9.32102884861031,50,0.0234,0.0091942,1,0.111
2,10.10835469,69,0.04893,0.02864,1,0.061
4,11.8,48,0.037,0.012,0,0.094
9,6.4,26,0.032,0.006,1,0.05
8,13.73,48,0.042,0.014,0,0.101
